DATE,ALLLCBW027SBOG
1993-07-14,45.7937
1993-07-21,45.7548
1993-07-28,45.7496
1993-08-04,45.829
1993-08-11,45.7738
1993-08-18,45.6862
1993-08-25,45.6676
1993-09-01,45.2906
1993-09-08,45.369
1993-09-15,45.4129
1993-09-22,45.5455
1993-09-29,45.5727
1993-10-06,45.1504
1993-10-13,45.3723
1993-10-20,45.4863
1993-10-27,45.4747
1993-11-03,45.4894
1993-11-10,45.2993
1993-11-17,45.2196
1993-11-24,45.1934
1993-12-01,45.1246
1993-12-08,45.0645
1993-12-15,45.1303
1993-12-22,45.0831
1993-12-29,44.9216
1994-01-05,44.7051
1994-01-12,44.5823
1994-01-19,44.5351
1994-01-26,44.7031
1994-02-02,44.4585
1994-02-09,44.5713
1994-02-16,44.5636
1994-02-23,44.5866
1994-03-02,44.5996
1994-03-09,44.5178
1994-03-16,44.5379
1994-03-23,44.5704
1994-03-30,44.5131
1994-04-06,44.5832
1994-04-13,44.5354
1994-04-20,44.529
1994-04-27,44.4839
1994-05-04,44.3782
1994-05-11,44.4264
1994-05-18,44.4258
1994-05-25,44.4722
1994-06-01,44.3126
1994-06-08,44.2236
1994-06-15,44.3419
1994-06-22,44.2491
1994-06-29,44.2097
1994-07-06,43.8779
1994-07-13,44.0509
1994-07-20,43.9439
1994-07-27,43.9931
1994-08-03,43.9914
1994-08-10,43.8939
1994-08-17,43.9015
1994-08-24,43.8837
1994-08-31,43.9066
1994-09-07,43.8129
1994-09-14,43.8435
1994-09-21,43.9423
1994-09-28,43.874
1994-10-05,43.8205
1994-10-12,44.0716
1994-10-19,44.0079
1994-10-26,44.0112
1994-11-02,43.92
1994-11-09,43.8864
1994-11-16,43.8194
1994-11-23,43.7514
1994-11-30,43.6898
1994-12-07,43.3878
1994-12-14,43.3561
1994-12-21,43.3916
1994-12-28,43.4819
1995-01-04,43.7218
1995-01-11,43.8235
1995-01-18,43.8192
1995-01-25,43.9927
1995-02-01,43.8952
1995-02-08,43.8349
1995-02-15,43.8697
1995-02-22,43.9535
1995-03-01,43.7096
1995-03-08,43.6337
1995-03-15,43.724
1995-03-22,43.7339
1995-03-29,43.8624
1995-04-05,43.821
1995-04-12,43.9008
1995-04-19,43.9865
1995-04-26,43.9942
1995-05-03,43.9399
1995-05-10,43.8489
1995-05-17,43.8597
1995-05-24,43.9208
1995-05-31,43.7319
1995-06-07,43.7253
1995-06-14,43.7508
1995-06-21,43.7881
1995-06-28,43.8211
1995-07-05,43.7957
1995-07-12,43.6746
1995-07-19,43.5788
1995-07-26,43.6435
1995-08-02,43.5048
1995-08-09,43.5469
1995-08-16,43.5876
1995-08-23,43.5399
1995-08-30,43.5224
1995-09-06,43.4392
1995-09-13,43.4705
1995-09-20,43.5894
1995-09-27,43.6989
1995-10-04,43.3731
1995-10-11,43.0821
1995-10-18,43.1913
1995-10-25,43.2562
1995-11-01,43.1218
1995-11-08,43.0988
1995-11-15,43.1464
1995-11-22,43.1448
1995-11-29,43.0143
1995-12-06,43.0353
1995-12-13,43.1178
1995-12-20,43.1234
1995-12-27,43.1853
1996-01-03,43.3318
1996-01-10,43.4062
1996-01-17,43.4169
1996-01-24,43.4747
1996-01-31,43.355
1996-02-07,43.3277
1996-02-14,43.423
1996-02-21,43.4331
1996-02-28,43.287
1996-03-06,43.2433
1996-03-13,43.2729
1996-03-20,43.2675
1996-03-27,43.2164
1996-04-03,43.2413
1996-04-10,43.2228
1996-04-17,43.2037
1996-04-24,43.2746
1996-05-01,43.0623
1996-05-08,43.0307
1996-05-15,43.0254
1996-05-22,42.9862
1996-05-29,42.9475
1996-06-05,42.8951
1996-06-12,42.8762
1996-06-19,42.8339
1996-06-26,42.8851
1996-07-03,42.9319
1996-07-10,42.926
1996-07-17,42.7818
1996-07-24,42.8358
1996-07-31,42.8733
1996-08-07,42.7387
1996-08-14,42.8413
1996-08-21,42.8497
1996-08-28,42.8146
1996-09-04,42.8442
1996-09-11,42.7165
1996-09-18,42.6783
1996-09-25,42.8729
1996-10-02,42.8138
1996-10-09,42.9179
1996-10-16,43.0184
1996-10-23,43.0826
1996-10-30,42.9864
1996-11-06,42.9084
1996-11-13,42.8664
1996-11-20,42.9586
1996-11-27,42.9458
1996-12-04,42.9024
1996-12-11,42.7544
1996-12-18,42.8126
1996-12-25,42.9438
1997-01-01,42.932
1997-01-08,42.7231
1997-01-15,42.6702
1997-01-22,42.6227
1997-01-29,42.5316
1997-02-05,42.5388
1997-02-12,42.495
1997-02-19,42.5533
1997-02-26,42.4565
1997-03-05,42.4221
1997-03-12,42.34
1997-03-19,42.3598
1997-03-26,42.3512
1997-04-02,42.5638
1997-04-09,42.5764
1997-04-16,42.5382
1997-04-23,42.5915
1997-04-30,42.5617
1997-05-07,42.284
1997-05-14,42.3196
1997-05-21,42.3043
1997-05-28,42.3421
1997-06-04,42.2402
1997-06-11,42.1365
1997-06-18,42.1317
1997-06-25,42.2476
1997-07-02,42.1418
1997-07-09,42.0771
1997-07-16,41.9437
1997-07-23,41.9899
1997-07-30,42.0102
1997-08-06,41.8795
1997-08-13,41.9434
1997-08-20,41.996
1997-08-27,41.9244
1997-09-03,41.7559
1997-09-10,41.7292
1997-09-17,41.7592
1997-09-24,41.709
1997-10-01,41.5954
1997-10-08,41.7513
1997-10-15,41.8089
1997-10-22,41.8449
1997-10-29,41.8127
1997-11-05,41.7215
1997-11-12,41.6386
1997-11-19,41.5745
1997-11-26,41.6602
1997-12-03,41.5622
1997-12-10,41.5307
1997-12-17,41.4678
1997-12-24,41.5319
1997-12-31,41.7212
1998-01-07,41.6614
1998-01-14,41.7438
1998-01-21,41.8069
1998-01-28,41.8094
1998-02-04,41.7919
1998-02-11,41.8194
1998-02-18,41.8329
1998-02-25,41.9729
1998-03-04,41.9387
1998-03-11,41.8518
1998-03-18,41.8196
1998-03-25,41.8735
1998-04-01,42.1467
1998-04-08,42.2615
1998-04-15,42.2168
1998-04-22,42.1948
1998-04-29,42.227
1998-05-06,42.1776
1998-05-13,42.1263
1998-05-20,42.1402
1998-05-27,42.0634
1998-06-03,42.2131
1998-06-10,42.1671
1998-06-17,42.2059
1998-06-24,42.2026
1998-07-01,42.4615
1998-07-08,42.4367
1998-07-15,42.2849
1998-07-22,42.1818
1998-07-29,42.2476
1998-08-05,42.1481
1998-08-12,42.1447
1998-08-19,42.0724
1998-08-26,42.1171
1998-09-02,42.1964
1998-09-09,41.8766
1998-09-16,41.9404
1998-09-23,41.9897
1998-09-30,42.7631
1998-10-07,42.6362
1998-10-14,42.6455
1998-10-21,42.559
1998-10-28,42.6264
1998-11-04,42.7082
1998-11-11,42.5485
1998-11-18,42.4672
1998-11-25,42.3526
1998-12-02,42.451
1998-12-09,42.2011
1998-12-16,42.1932
1998-12-23,42.2653
1998-12-30,42.3944
1999-01-06,42.2516
1999-01-13,42.5873
1999-01-20,42.6329
1999-01-27,42.5893
1999-02-03,43.119
1999-02-10,42.9373
1999-02-17,42.8744
1999-02-24,42.8875
1999-03-03,42.911
1999-03-10,42.8555
1999-03-17,42.8813
1999-03-24,43.0496
1999-03-31,43.191
1999-04-07,42.9344
